Temperature

16:15:00.367 -> Humidity: 36.00 %, Temp: 25.70 Celsius
16:15:02.392 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:04.422 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:06.455 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:08.500 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:10.516 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:12.546 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:14.573 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:16.596 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:18.629 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:20.642 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:22.693 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:24.694 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:26.712 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:28.742 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:30.793 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:32.793 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:34.821 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:15:36.852 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:38.889 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:40.933 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:42.951 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:44.988 -> Humidity: 36.00 %, Temp: 25.60 Celsius
16:15:46.990 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:49.019 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:15:51.056 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:53.081 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:55.090 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:57.117 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:15:59.170 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:16:01.199 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:16:03.212 -> Humidity: 37.00 %, Temp: 25.60 Celsius
16:16:05.225 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:07.250 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:09.282 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:11.320 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:13.365 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:15.392 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:17.398 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:19.420 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:21.446 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:23.484 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:25.502 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:27.523 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:29.582 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:31.592 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:33.626 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:35.647 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:37.673 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:39.718 -> Humidity: 37.00 %, Temp: 25.50 Celsius
16:16:41.728 -> Humidity: 37.00 %, Temp: 25.50 Celsius
